"","population","perCapInc","PctPopUnderPov","pctUrban","HighCrime"
"1",0.19,0.4,0.19,1,0
"2",0,0.37,0.24,1,1
"3",0,0.27,0.27,0,0
"4",0.04,0.36,0.1,1,0
"5",0.01,0.43,0.06,0.9,0
"6",0.02,0.72,0.12,1,0
"7",0.01,0.47,0.11,0.81,0
"8",0.01,0.1,0.64,0,1
"9",0.03,0.23,0.45,1,1
"10",0.01,0.89,0.11,1,0
"11",0.13,0.33,0.18,1,0
"12",0.02,0.72,0.07,1,0
"13",0.03,0.78,0.07,1,0
"14",0.01,0.41,0.07,0.77,0
"15",0.04,0.79,0.18,1,0
"16",0.03,0.22,0.33,0,0
"17",0.15,0.29,0.48,1,0
"18",0.01,0.69,0.04,0.76,0
"19",0.02,0.34,0.22,0,0
"20",0,0.22,0.28,0.58,0
"21",0.25,0.29,0.34,1,0
"22",1,0.3,0.33,0.99,1
"23",0.01,0.2,0.58,0,0
"24",0.11,0.25,0.36,1,1
"25",0.02,0.08,0.63,0,0
"26",0,0.34,0.3,1,0
"27",0.06,0.32,0.25,1,1
"28",0.01,0.23,0.32,0,0
"29",0.01,0.25,0.57,0,0
"30",0,0.48,0.01,0,0
"31",0.01,0.25,0.45,0,0
"32",0.29,0.29,0.33,1,0
"33",0.04,0.17,1,1,0
"34",0.09,0.26,0.43,1,0
"35",0.03,0.8,0.06,1,0
"36",0.19,0.25,0.38,1,0
"37",0.03,0.46,0.1,1,0
"38",0.01,0.14,0.59,0,0
"39",0.02,0.18,0.48,0,0
"40",0.01,0.78,0.02,0,0
"41",0.01,0.31,0.1,0,0
"42",0.06,0.32,0.17,1,0
"43",0,0.16,0.54,1,1
"44",0.09,0.57,0.17,1,0
"45",0.02,0.59,0.07,1,0
"46",0.12,0.28,0.44,1,0
"47",0.03,0.3,0.18,0.68,0
"48",0,0.18,0.57,0,0
"49",0.04,0.45,0.18,1,0
"50",0.01,0.22,0.34,0,0
"51",0.06,0.26,0.43,1,0
"52",0.35,0.31,0.31,1,1
"53",0.04,0.33,0.13,1,0
"54",0.02,0.67,0.05,0.77,0
"55",0,0.18,0.43,1,0
"56",0.01,0.13,0.61,0,0
"57",0.16,0.43,0.16,1,0
"58",0,0.19,0.43,0,0
"59",0.24,0.38,0.3,0.99,1
"60",0,0.38,0.1,1,0
"61",0.01,0.49,0.08,1,0
"62",0.02,0.27,0.3,0,0
"63",0,0.18,0.5,0,0
"64",0.01,0.21,0.46,0,1
"65",0.02,0.21,0.44,0,0
"66",0.04,1,0.09,1,0
"67",0.07,0.26,0.37,1,1
"68",0.01,0.78,0.08,0.93,0
"69",0.05,0.21,0.4,1,1
"70",0,0.22,0.25,0,0
"71",0.04,0.79,0.04,1,0
"72",0.05,0.41,0.1,0,0
"73",0.04,0.24,0.44,1,0
"74",0.02,0.67,0.06,0.09,0
"75",0.08,0.36,0.18,1,0
"76",0.02,0.34,0.24,0.99,0
"77",0.02,0.2,0.39,1,0
"78",0.08,0.15,0.75,0.99,1
"79",0.14,0.17,0.57,1,1
"80",0.34,0.35,0.19,1,1
"81",0.29,0.42,0.28,1,0
"82",0.09,0.19,0.44,1,0
"83",0,0.15,0.52,0,1
"84",0.01,0.35,0.09,0.81,0
"85",0,0.11,0.82,0,0
"86",0,0.19,0.31,0,0
"87",0.02,0.32,0.2,0,0
"88",0.02,0.71,0.11,1,0
"89",0,0.17,0.49,0,0
"90",0.04,0.31,0.19,1,0
"91",0.02,0.36,0.27,0,1
"92",0.02,0.33,0.24,1,0
"93",0,0.72,0.11,0.66,0
"94",0,0.31,0.09,1,0
"95",0.04,0.33,0.22,1,0
"96",0.07,0.37,0.19,1,0
"97",0.03,0.27,0.49,0,0
"98",0.06,0.21,0.64,0,0
"99",0.01,0.44,0.03,0.63,0
"100",0.14,0.34,0.23,1,0
"101",0.11,0.19,0.42,1,0
"102",0,0.39,0.12,1,0
"103",0.18,0.38,0.28,1,0
"104",0.24,0.26,0.44,1,0
"105",0,0.2,0.31,0,0
"106",0.01,0.1,0.99,0,0
"107",0.05,0.33,0.73,1,0
"108",0.01,0.53,0.04,1,0
"109",0,0.21,0.58,0,0
"110",0.64,0.21,0.53,1,0
"111",0.06,0.4,0.24,1,1
"112",0.01,0.34,0.09,0.83,0
"113",0.02,0.48,0.09,0.74,0
"114",0.13,0.5,0.15,1,0
"115",0,0.23,0.43,1,1
"116",0.01,0.88,0.07,0,0
"117",0.16,0.23,0.43,1,1
"118",0.02,0.52,0.09,1,0
"119",0.03,0.47,0.17,1,0
"120",0.12,0.83,0.24,1,1
"121",0.06,0.4,0.19,1,0
"122",0.02,0.76,0.02,1,0
"123",0.03,0.33,0.08,1,0
"124",0,0.38,0.08,1,0
"125",0.02,0.31,0.2,0,0
"126",0.01,0.32,0.19,1,0
"127",0.05,0.46,0.06,0.96,0
"128",0.01,0.35,0.3,1,0
"129",0.03,0.18,0.4,1,1
"130",0,0.26,0.19,0,0
"131",0.02,0.18,0.85,0,0
"132",0,0.35,0.24,0,0
"133",0.01,0.15,0.42,0,0
"134",0.05,0.39,0.09,1,0
"135",0.1,0.47,0.11,1,0
"136",0.01,0.5,0.04,1,0
"137",0,0.57,0.08,0.5,0
"138",0.04,0.54,0.14,1,0
"139",0,0.23,0.45,0,0
"140",0.01,1,0.05,1,0
"141",0.03,0.43,0.12,1,0
"142",0.03,0.44,0.09,0.81,0
"143",0.03,0.16,0.61,1,0
"144",0.02,0.42,0.06,0,0
"145",0.06,0.27,0.26,1,0
"146",0.15,0.26,0.47,1,1
"147",0.34,0.25,0.7,1,1
"148",0.01,0.22,0.4,0,0
"149",0.01,0.21,0.43,0,1
"150",0.02,0.24,0.47,0,1
"151",0.12,0.21,0.49,1,0
"152",0.11,0.26,0.49,1,1
"153",0.01,0.33,0.19,1,0
"154",0.03,0.41,0.08,0.85,0
"155",0,0.17,0.66,0,1
"156",0.08,0.2,0.45,1,0
"157",0.02,1,0.1,1,0
"158",0.01,0.2,0.64,0,1
"159",0.14,0.4,0.27,1,0
"160",0,0.25,0.22,0,0
"161",0.01,0.17,0.59,0,0
"162",0.03,0.6,0.08,0.97,0
"163",0.04,0.46,0.09,1,0
"164",0.02,0.48,0.11,1,0
"165",0.01,0.75,0.05,1,0
"166",0.04,0.52,0.13,1,0
"167",0.04,0.16,1,0,0
"168",0.01,0.23,0.4,0,0
"169",0.02,0.27,0.41,0,0
"170",0.06,0.22,0.41,1,0
"171",0.07,0.23,0.61,1,0
"172",0,0.4,0.09,0,0
"173",0,0.21,0.3,0,0
"174",0.03,0.08,0.9,1,0
"175",0.11,0.27,0.42,1,1
"176",0.13,0.45,0.07,1,0
"177",0.02,0.52,0.04,0.91,0
"178",0.35,0.27,0.5,1,1
"179",0.01,0.27,0.36,0,0
"180",0,0.31,0.17,1,0
"181",0.03,0.22,0.4,0,0
"182",0,0.13,0.64,0,0
"183",0,0.17,0.58,0,0
"184",0,0.85,0.04,1,0
"185",0.07,0.46,0.09,0.96,0
"186",0.28,0.36,0.3,1,0
"187",0.11,0.45,0.12,1,0
"188",0.02,0.46,0.08,1,0
"189",0.01,0.62,0.06,1,0
"190",0.02,0.31,0.09,1,0
"191",0.01,0.35,0.19,1,0
"192",0.04,0.46,0.14,1,0
"193",0.02,0.09,1,0,0
"194",0.02,0.28,0.04,1,0
"195",0,0.23,0.06,1,0
"196",0,0.48,0.04,0.86,0
"197",0.01,0.34,0.1,0.69,0
"198",0.2,0.2,0.6,1,0
"199",0.09,0.27,0.37,1,0
"200",0.01,0.22,0.49,0,0
"201",0.03,0.28,0.16,1,0
"202",0,0.55,0.06,1,0
"203",0.01,0.18,0.3,1,0
"204",0.01,0.26,0.24,1,1
"205",0,0.33,0.14,0,0
"206",0.16,0.3,0.45,1,0
"207",0.2,0.58,0.12,1,0
"208",0,0.23,0.23,0,0
"209",0.03,0.52,0.1,1,0
"210",0,0.3,0.76,0,0
"211",0.01,0.37,0.16,1,0
"212",0,0.36,0.13,1,0
"213",0.03,0.35,0.27,1,1
"214",0.01,0.53,0.08,1,0
"215",0.01,0.32,0.18,0,0
"216",0.07,0.33,0.33,1,0
"217",0.03,0.26,0.23,0,0
"218",0,0.12,0.19,0,0
"219",0.07,0.21,0.5,1,0
"220",0.02,0.33,0.18,1,0
"221",0,0.22,0.28,0,0
"222",0.02,0.39,0.3,1,0
"223",0.07,0.19,0.55,1,0
"224",0,0.35,0.11,1,0
"225",0.04,0.25,0.24,0,0
"226",0,0.19,0.55,1,0
"227",0.02,0.17,0.68,0,1
"228",0.1,0.26,0.27,1,0
"229",0,0.14,0.67,0,1
"230",0.01,0.37,0.47,1,0
"231",0,0.2,0.33,0,0
"232",0,0.22,0.19,0.68,0
"233",0.02,0.24,0.5,0,0
"234",0.19,0.27,0.56,1,1
"235",0.03,0.39,0.07,0.84,0
"236",0.01,0.18,0.43,0,0
"237",0.03,0.21,0.25,1,0
"238",0.02,0.39,0.08,0.75,0
"239",0.05,0.31,0.2,1,0
"240",0.04,0.3,0.28,1,0
"241",0.03,0.73,0.06,0.83,0
"242",0.02,0.21,0.38,0,0
"243",0.11,0.27,0.46,1,0
"244",0.15,0.1,0.6,1,1
"245",0.02,0.2,0.4,0,0
"246",0.08,0.38,0.19,1,0
"247",0.08,0.31,0.24,1,1
"248",0.01,0.21,0.38,1,0
"249",0.05,0.24,0.58,1,1
"250",0.07,0.2,0.56,1,0
"251",0.62,0.4,0.28,1,1
"252",0.1,0.29,0.36,1,1
"253",0.02,0.68,0.03,1,0
"254",0,0.43,0.14,1,0
"255",0.01,0.51,0.05,1,0
"256",0.1,0.18,0.58,1,1
"257",0.01,0.13,0.71,0,0
"258",0,0.4,0.12,0.58,0
"259",0.01,0.18,0.45,0,0
"260",0,0.08,0.71,0,0
"261",0.02,0.24,0.26,0,1
"262",0.02,0.31,0.35,1,1
"263",0.31,0.3,0.55,1,1
"264",0.03,0.62,0.04,0.83,0
"265",0.03,0.32,0.11,0.8,0
"266",0.03,0.43,0.24,0,0
"267",0.28,0.26,0.48,1,0
"268",0.01,0.27,0.21,1,0
"269",0,0.13,0.72,0,0
"270",0.01,0.29,0.31,0,1
"271",0.03,0.42,0.11,0.94,0
"272",0.04,0.3,0.48,1,0
"273",0,0.39,0.33,1,0
"274",0.04,0.19,0.43,0,0
"275",0,0.34,0.09,0.64,0
"276",0.06,0.29,0.28,1,0
"277",0.02,0.16,0.59,1,0
"278",0.06,0.46,0.08,1,0
"279",0.01,0.27,0.17,0,0
"280",0.06,0.28,0.25,1,0
"281",0.01,0.19,0.59,0,0
"282",0.01,0.35,0.27,0.61,0
"283",0.01,0.27,0.28,1,0
"284",0.03,0.29,0.28,1,0
"285",0.01,0.34,0.21,1,0
"286",0.01,0.25,0.4,1,0
"287",0.03,0.38,0.38,1,1
"288",0,0.71,0.04,0.17,0
"289",0.02,0.24,0.44,0,1
"290",0.01,0.36,0.1,0.39,0
"291",0.02,0.26,0.22,0,0
"292",0,0.23,0.51,1,0
"293",0.01,0.43,0.03,0.89,0
"294",0.15,0.26,0.33,1,0
"295",0.02,0.34,0.27,0.93,0
"296",0.04,0.45,0.07,1,0
"297",0.67,0.36,0.44,1,1
"298",0.01,0.85,0,0.9,0
"299",0,0.19,0.34,0,0
"300",0.06,0.25,0.45,1,0
"301",0.02,0.24,0.25,0,0
"302",0,0.2,0.37,0,0
"303",0.01,0.26,0.45,1,0
"304",0.02,0.35,0.39,0,0
"305",0.02,0.25,0.22,1,0
"306",0.04,1,0.16,1,0
"307",0.09,0.27,0.42,1,0
"308",0.03,0.15,0.69,0,0
"309",0.03,0.62,0.04,0.93,0
"310",0.02,0.75,0.08,1,0
"311",0.01,0.26,0.13,1,0
"312",0.07,0.35,0.07,0.98,0
"313",0.08,0.38,0.22,1,0
"314",0.12,0.17,0.58,1,1
"315",0.01,0.48,0.08,1,0
"316",0.08,0.2,0.49,1,0
"317",0.01,0.2,0.44,0,0
"318",0.01,0.11,0.56,0,0
"319",0,0.3,0.13,1,0
"320",0.01,0.22,0.35,0,0
"321",0,0.19,0.45,0,0
"322",0.02,0.23,0.49,0,0
"323",0.02,0.25,0.3,0,0
"324",0.09,0.15,0.38,1,0
"325",0.08,0.34,0.23,1,0
"326",0.02,0.09,0.83,0,0
"327",0,0.2,0.43,0,0
"328",0.04,0.37,0.1,1,0
"329",0.01,0.26,0.37,1,0
"330",0.04,0.29,0.4,1,0
"331",0.05,0.31,0.1,1,0
"332",0.04,0.39,0.19,1,0
"333",0.03,0.88,0.03,1,0
"334",0.04,0.23,0.66,1,1
"335",0.01,0.17,0.58,0,0
"336",0.06,0.53,0.07,1,0
"337",0.12,0.11,0.79,1,0
"338",0.03,0.44,0.06,1,0
"339",0.07,0.37,0.15,1,0
"340",0,0.31,0.17,1,0
"341",0.11,0.42,0.12,0.95,0
"342",0,0.37,0.12,0,0
"343",0,0.44,0.09,0,0
"344",0.04,0.26,0.15,1,0
"345",0.01,0.27,0.25,1,0
"346",0.14,0.27,0.35,1,0
"347",0.81,0.45,0.32,1,1
"348",0.08,0.22,0.51,1,0
"349",0,0.56,0.05,1,0
"350",0.02,0.14,0.93,0,0
"351",0,0.53,0.05,0.89,0
"352",0.02,0.31,0.33,0,0
"353",0.02,0.23,0.32,0,0
"354",0.01,0.28,0.09,0.7,0
"355",0.09,0.16,0.23,1,0
"356",0.01,0.2,0.48,0,0
"357",0.06,0.41,0.11,1,0
"358",0.01,0.48,0.09,1,0
"359",0.01,0.17,0.42,0,0
"360",0,0.26,0.09,1,0
"361",0.02,0.25,0.39,0,0
"362",0.02,0.29,0.16,1,0
"363",0.41,0.17,0.66,0.99,1
"364",0,0.21,0.27,0,0
"365",0.02,0.27,0.17,1,0
"366",0.15,0.23,0.37,1,0
"367",0.16,0.19,0.51,1,0
"368",0.01,0.1,0.9,0,0
"369",0.07,0.14,1,1,0
"370",0.07,0.33,0.07,1,0
"371",0.03,0.23,0.58,1,1
"372",0.03,0.48,0.16,1,0
"373",0.01,0.31,0.07,0,0
"374",0.02,0.43,0.06,0.69,0
"375",0.01,0.34,0.49,0,1
"376",0.02,1,0.06,1,1
"377",0.03,0.72,0.05,0.71,0
"378",0.01,0.2,0.31,0,0
"379",0.02,0.71,0.21,1,0
"380",0.01,0.38,0.24,1,0
"381",0.11,0.2,0.51,1,0
"382",0.01,0.39,0.16,0,0
"383",0.02,0.6,0.05,1,0
"384",0,0.21,0.49,0,0
"385",0.16,0.24,0.42,1,1
"386",0,0.18,0.45,0,0
"387",0.08,0.27,0.18,1,0
"388",0,0.26,0.36,0,0
"389",0.17,0.28,0.21,1,1
"390",0.01,0.52,0.08,1,0
"391",0,1,0.09,1,0
"392",0.01,0.21,0.21,0,0
"393",0.03,0.22,0.31,1,0
"394",0.03,0.22,0.49,0,1
"395",0,0.92,0.02,1,0
"396",0.03,0.26,0.29,0,0
"397",0.14,0.04,1,1,0
"398",0.01,0.34,0.13,1,0
"399",0.01,0.3,0.32,1,0
"400",0.03,0.4,0.42,1,1
"401",0.07,0.23,0.47,1,1
"402",0.99,0.2,0.59,1,0
"403",0,0.16,0.55,1,0
"404",0,0.13,0.51,1,0
"405",0.01,0.21,0.51,0,1
"406",0.01,0.13,0.75,0,0
"407",0.01,0.3,0.22,1,0
"408",0.01,0.12,0.62,0.98,1
"409",0.06,0.25,0.48,1,1
"410",0.03,0.86,0.16,1,0
"411",0.04,0.16,0.78,1,1
"412",0.02,0.29,0.36,0,0
"413",0.01,0.26,0.27,0,0
"414",1,0.23,0.58,1,1
"415",0.02,0.38,0.1,0.64,0
"416",0,0.24,0.17,0,0
"417",0,0.25,0.19,0,0
"418",0,0.34,0.22,1,0
"419",0.01,0.42,0.11,0.07,0
"420",0.01,0.23,0.39,0,0
"421",0.03,0.21,0.65,1,1
"422",0.04,0.31,0.24,1,1
"423",0.01,0.45,0.08,1,0
"424",0.05,0.17,0.52,1,1
"425",0.01,0.45,0.05,0.87,0
"426",0.01,0.19,0.33,1,0
"427",0.01,0.39,0.05,0,0
"428",0.03,0.19,0.52,1,1
"429",0.03,0.23,0.39,0,1
"430",0.19,0.32,0.26,1,0
"431",0.02,0.39,0.16,0,0
"432",0.58,0.31,0.45,1,1
"433",0,0.45,0.11,1,0
"434",0.05,0.19,0.74,0,0
"435",0,0.34,0.09,0,0
"436",0,0.55,0.09,1,0
"437",0.06,0.21,0.31,0.97,0
"438",0.01,0.58,0.06,0.97,0
"439",0.43,0.43,0.14,1,0
"440",0.03,0.22,0.57,1,0
"441",0.01,0.31,0.1,1,0
"442",0.03,0.25,0.37,0,0
"443",0.01,0.18,0.5,0,0
"444",0.01,0.36,0.09,1,0
"445",0.08,0.25,0.64,0.99,1
"446",0.01,0.25,0.37,0,0
"447",0,0.18,0.44,0,1
"448",0.08,0.27,0.32,1,1
"449",0.02,1,0.04,1,0
"450",0.02,0.57,0.08,1,0
"451",0,0.13,0.71,0,1
"452",0.04,0.24,0.27,0,0
"453",0.03,0.2,0.3,1,0
"454",0.05,0.2,0.54,0,0
"455",0.15,0.17,0.76,1,1
"456",0.01,0.15,0.34,1,0
"457",0.03,0.33,0.11,1,0
"458",0.03,0.16,0.8,1,1
"459",0,0.24,0.23,0,0
"460",0.02,0.47,0.04,0,0
"461",0,0.18,0.63,0,1
"462",0.04,0.45,0.08,1,0
"463",0,0.13,0.46,1,1
"464",0.06,0.37,0.14,0,0
"465",0.27,0.25,0.46,1,0
"466",0,0.17,0.5,0,0
"467",0.01,0.87,0.07,1,0
"468",0.02,0.57,0.13,1,0
"469",0.03,0.25,0.14,1,0
"470",0,0.31,0.1,1,0
"471",0.1,0.3,0.31,1,0
"472",0.1,0.26,0.1,1,0
"473",0.03,0.23,0.49,1,1
"474",0.03,0.35,0.29,1,0
"475",0.01,0.2,0.67,0,0
"476",0.01,0.23,0.48,0,0
"477",0.04,0.21,0.46,1,0
"478",0.08,0.28,0.43,1,0
"479",0.01,0.29,0.2,0,0
"480",0.01,0.18,0.52,0,0
"481",0.01,0.2,0.26,1,0
"482",0.03,0.4,0.12,0,0
"483",0.03,0.23,0.63,0,1
"484",0.05,0.39,0.13,1,0
"485",0.04,0.59,0.08,0.92,0
"486",0.73,0.31,0.47,1,0
"487",0.04,0.41,0.19,1,0
"488",0.03,0.27,0.4,1,0
"489",0.02,0.18,0.53,0,0
"490",0.01,0.36,0.15,0.96,0
"491",0,0.63,0.02,1,0
"492",0.02,0.15,0.89,0,0
"493",0.01,0.98,0.02,0.9,0
"494",0.06,0.69,0.04,1,0
"495",0.02,0.1,0.88,0.98,0
"496",0,0.09,0.91,0,0
"497",0.11,0.62,0.12,1,0
"498",0.06,0.27,0.4,1,0
"499",0.01,0.31,0.09,0.79,0
"500",0.25,0.19,0.6,1,1
"501",0.04,0.45,0.12,1,0
"502",0.06,0.25,0.43,0,0
"503",0.03,0.5,0.12,1,0
"504",0,0.23,0.38,0,0
"505",0.07,0.26,0.29,1,0
"506",0.25,0.24,0.55,1,1
"507",0.1,0.19,0.52,1,0
"508",0.07,0.41,0.16,1,0
"509",0,0.13,0.64,0,0
"510",0,0.21,0.33,0,0
"511",0.05,0.22,0.2,1,0
"512",0.11,0.24,0.33,1,0
"513",0.02,0.25,0.52,0,0
"514",0.17,0.42,0.21,1,0
"515",0.04,0.39,0.28,0,0
"516",0,0.56,0.02,0.98,0
"517",0.04,0.4,0.12,1,0
"518",0.02,0.21,0.38,0,0
"519",0.01,0.24,0.34,0,0
"520",0,0.26,0.25,0,0
"521",0.09,0.4,0.12,1,0
"522",0.05,0.37,0.18,1,0
"523",1,0.27,0.45,1,0
"524",0,0.26,0.5,0,0
"525",0.03,0.19,0.36,0,0
"526",0.6,0.3,0.36,1,1
"527",0.01,0.14,0.84,0,0
"528",0,0.21,0.43,0,0
"529",0.08,0.18,0.3,1,1
"530",0,0.35,0.18,0.87,0
"531",0,0.54,0.05,1,0
"532",0.04,0.28,0.2,0,0
"533",0.52,0.23,0.5,1,0
"534",0.02,0.5,0.11,1,0
"535",0,0.19,0.31,1,0
"536",0.01,0.3,0.19,1,0
"537",0.02,0.3,0.1,0,0
"538",0,0.37,0.12,0.9,0
"539",0.01,0.43,0.09,1,0
"540",0.01,0.2,0.62,0,1
"541",0.08,0.37,0.13,1,0
"542",0.05,0.48,0.1,1,0
"543",0.01,0.46,0.15,0.98,0
"544",0.01,0.58,0.05,0.91,0
"545",0.08,0.2,0.48,1,0
"546",0.01,0.21,0.27,1,1
"547",0.01,0.38,0.17,1,0
"548",0.03,0.34,0.08,0.97,0
"549",0.03,0.56,0.07,1,0
"550",0.01,0.25,0.34,1,0
"551",0.02,0.48,0.06,1,0
"552",0.01,0.19,0.41,1,0
"553",0.12,0.29,0.17,1,1
"554",0.16,0.76,0.15,1,0
"555",0.02,0.55,0.06,0,0
"556",0.02,0.18,0.67,0,1
"557",0.02,0.24,0.27,0,0
"558",0.47,0.32,0.32,1,0
"559",0.04,0.45,0.16,1,0
"560",0.02,0.71,0.11,1,0
"561",0.01,0.21,0.62,1,1
"562",0,0.35,0.11,0,0
"563",0.05,0.7,0.1,1,0
"564",0.04,0.23,0.49,1,0
"565",1,0.38,0.5,1,1
"566",0.04,0.23,0.37,0,0
"567",0.03,0.24,0.46,0,0
"568",0.1,0.42,0.12,1,0
"569",0.4,0.23,0.53,1,0
"570",0.02,0.19,0.4,1,0
"571",0.07,0.56,0.08,1,0
"572",0.02,0.72,0.11,1,0
"573",0.11,0.37,0.16,1,0
"574",0.03,0.14,1,1,0
"575",0.02,0.34,0.12,0.95,0
"576",0.01,0.47,0.06,1,0
"577",0.01,0.45,0.08,0.93,0
"578",0.02,0.55,0.04,1,0
"579",0.05,0.28,0.22,1,0
"580",0.01,0.33,0.19,1,0
"581",0,0.27,0.13,0,0
"582",0,0.62,0.06,1,0
"583",0.01,0.17,0.51,0,0
"584",0.01,0.19,0.45,0,0
"585",0.1,0.66,0.05,1,0
"586",0.01,0.44,0.11,0.79,0
"587",0.11,0.18,0.73,1,1
"588",0,0,1,0,1
"589",0.11,0.35,0.17,1,0
"590",0.03,0.22,0.56,0,0
"591",0.01,0.1,0.89,0,0
"592",0.07,0.2,0.72,1,1
"593",0.04,0.79,0.01,1,0
"594",0,0.47,0.06,1,0
"595",0.02,0.56,0.05,1,0
"596",0.03,0.2,0.38,1,0
"597",0.06,0.66,0.19,1,0
"598",0.07,0.35,0.22,1,0
"599",0.05,0.28,0.32,1,0
"600",0,0.14,0.81,0,0
"601",1,0.38,0.51,1,1
"602",0.04,0.35,0.32,1,0
"603",0,0.29,0.36,0,0
"604",0.07,0.94,0.11,0.99,0
"605",0.04,0.2,0.43,1,1
"606",0.01,0.28,0.13,1,0
"607",0,0.27,0.53,0,0
"608",0.03,0.27,0.2,1,0
"609",0.02,0.19,0.44,1,1
"610",0.02,0.82,0.03,0.94,0
"611",0.09,0.5,0.19,1,0
"612",0.04,0.17,0.56,1,0
"613",0.16,0.28,0.24,0.99,0
"614",0.05,0.38,0.3,1,0
"615",0,0.16,0.54,0,0
"616",0.01,0.3,0.28,1,1
"617",0.01,0.36,0.13,1,0
"618",0.07,0.25,0.35,1,0
"619",0.01,0.19,0.55,0,0
"620",0.05,1,0.07,1,0
"621",0.01,0.22,0.56,0,0
"622",0.07,0.22,0.5,1,0
"623",0,0.39,0.12,0,0
"624",0.05,0.46,0.16,1,0
"625",0.07,0.17,0.67,1,0
"626",0.06,0.28,0.26,1,0
"627",0.01,0.32,0.19,0,0
"628",0.02,0.31,0.19,0,0
"629",0.01,0.28,0.39,0,0
"630",0.01,0.46,0.1,1,0
"631",0.17,0.13,0.79,1,1
"632",0.13,0.2,0.47,1,1
"633",0.01,0.28,0.29,0,0
"634",0.01,0.12,0.6,1,0
"635",0,0.19,0.66,0,0
"636",0.03,0.4,0.11,1,0
"637",0.02,0.08,0.95,1,0
"638",0.13,0.28,0.35,1,1
"639",0.08,0.8,0.13,1,0
"640",0.14,0.29,0.22,1,0
"641",0,0.11,0.6,0,0
"642",0.21,0.2,0.73,1,1
"643",0,0.23,0.18,1,1
"644",0.04,0.32,0.12,1,0
"645",0.01,0.65,0.09,0.72,0
"646",0,0.22,0.19,1,0
"647",0,0.01,1,1,0
"648",0,0.62,0.05,1,0
"649",0.03,0.26,0.35,1,0
"650",0,0.24,0.27,1,0
"651",0.01,0.15,0.86,0,0
"652",0.04,0.56,0.08,1,0
"653",0.02,0.61,0.02,0.86,0
"654",0.01,0.44,0.07,0.78,0
"655",0.01,0.27,0.31,0,0
"656",0.03,0.45,0.09,1,0
"657",0,0.17,0.62,0,0
"658",0.03,1,0.02,1,0
"659",0.06,0.7,0.13,1,0
"660",0.01,0.21,0.22,0,0
"661",0.02,0.04,0.99,1,0
"662",0.02,0.5,0.05,1,0
"663",0.32,0.4,0.3,1,0
"664",0.7,0.27,0.46,1,1
"665",0.01,0.22,0.47,0,0
"666",0.08,0.73,0.13,1,0
"667",0.01,0.24,0.17,1,0
"668",0.62,0.35,0.73,1,1
"669",0.04,0.06,0.7,1,0
"670",0.91,0.36,0.49,1,1
"671",0.03,0.23,0.49,1,0
"672",0,0.42,0.07,0.86,0
"673",0.05,0.15,0.17,0.99,0
"674",0.01,0.13,0.59,1,1
"675",0.14,0.25,0.42,1,0
"676",0.14,0.11,0.77,1,1
"677",0.23,0.25,0.48,1,1
"678",0.01,0.41,0.17,1,0
